"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","YEAR","TITLE","JOURNAL","DOI","ABSTRACT","PMID"
"214","Anna","YES","Lacasse A;Gagnon V;Nguena Nguefack Hl;Gosselin M;Pagé Mg;Blais L;Guénette L","2021","Chronic pain patients' willingness to share personal identifiers on the web for the linkage of medico-administrative claims and patient-reported data: the chronic pain treatment cohort.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5255","The linkage between patient-reported data and medico-administrative claims is of great interest for epidemiologic research. The goal of this study was to assess the willingness of people living with chronic pain to share personal identifiers on the web for the linkage of medico-administrative and patient-reported data. This methodological investigation was achieved in the context of the implementation of the chronic pain treatment (cope) cohort. A web-based recruitment initiative targeting adults living with chronic pain was conducted in the province of quebec (canada). A total of 1935 participants completed the questionnaire (mean age: 49.86 ± 13.27; females: 83.69%), 921 (47.60%) of which agreed to data linkage and shared their personal identifiers (name, date of birth, health insurance number online). The most common reasons for refusal were: (1) concerns regarding data security/privacy (25.71%) and (2) the belief that the requested data were too personal/intrusive (13.52%). Some participants did not understand the relevance of data linkage (11.81%). Participants from the cope cohort and those from the subsample who agreed to data linkage were comparable to other random samples of chronic pain individuals in terms of age and pain characteristics. Although approximately half of the participants refused data linkage, our approach allowed for the implementation of a data platform that contains a diverse and substantial sample. This investigation has also led to the formulation of recommendations for web-based data linkage, including placing items designed to assess willingness to share personal identifiers at the end of the questionnaire, adding explanatory videos, and using a mixed-mode questionnaire.","33901339"
"218","Anna","YES","Kleinert E;Hillermann N;Jablonka A;Happle C;Müller F;Simmenroth A","2021","Prescription of antibiotics in the medical care of newly arrived refugees and migrants.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5254","Unnecessary and inappropriate use of antibiotics is a widespread problem in primary care. However, current data on the care of refugees and migrants in initial reception centers is pending. This article provides data on prescription frequencies of various antibiotics and associated diagnoses. In this retrospective observational study, patient data of 3255 patients with 6376 medical contacts in two initial reception centers in germany were analyzed. Patient data, collected by chart review, included sociodemographic characteristics, diagnoses, and prescriptions. Antibiotic prescription behavior and corresponding physician-coded diagnoses were analyzed. Nineteen percent of all patients in our study received systemic antibiotics during the observation period, with children below the age of 10 years receiving antibiotics most frequently (24%). The most commonly prescribed antibiotics were penicillins (65%), macrolides (12%), and cephalosporins (7%). The most frequent diagnoses associated with antibiotic prescription were acute tonsillitis (26%), bronchitis (21%), infections of the upper respiratory tract (14%), and urinary tract infections (10%). In case of acute bronchitis 74% of the antibiotic prescriptions were probably not indicated. In addition, we found a significant number of inappropriate prescriptions such as amoxicillin for tonsillitis (67%), and ciprofloxacin and cotrimoxazol for urinary tract infections (49%). Regarding inappropriate prescription of antibiotics in refugee healthcare, this study shows a rate ranging from 8% for upper respiratory tract infections to 75% for acute bronchitis. Unnecessary use of antibiotics is a global problem contributing to gratuitous costs, side effects, and antimicrobial resistance. This research contributes to the development of stringent antibiotic stewardship regiments in the particularly vulnerable population of migrants and refugees.","33886141"
"219","Anna","YES","Lo Re V;Carbonari Dm;Jacob J;Short Wr;Leonard Ce;Lyons Jg;Kennedy A;Damon J;Haug N;Zhou Eh;Graham Dj;Mcmahill-Walraven Cn;Parlett Le;Nair V;Selvan M;Zhou Y;Pocobelli G;Maro Jc;Nguyen Md","2021","Validity of icd-10-cm diagnoses to identify hospitalizations for serious infections among patients treated with biologic therapies.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5253","Identifying hospitalizations for serious infections among patients dispensed biologic therapies within healthcare databases is important for post-marketing surveillance of these drugs. We determined the positive predictive value (ppv) of an icd-10-cm-based diagnostic coding algorithm to identify hospitalization for serious infection among patients dispensed biologic therapy within the fda's sentinel distributed database. We identified health plan members who met the following algorithm criteria: (1) hospital icd-10-cm discharge diagnosis of serious infection between july 1, 2016 and august 31, 2018; (2) either outpatient/emergency department infection diagnosis or outpatient antimicrobial treatment within 7 days prior to hospitalization; (3) inflammatory bowel disease, psoriasis, or rheumatological diagnosis within 1 year prior to hospitalization, and (4) were dispensed outpatient biologic therapy within 90 days prior to admission. Medical records were reviewed by infectious disease clinicians to adjudicate hospitalizations for serious infection. The ppv (95% confidence interval [ci]) for confirmed events was determined after further weighting by the prevalence of the type of serious infection in the database. Among 223 selected health plan members who met the algorithm, 209 (93.7% [95% ci, 90.1%-96.9%]) were confirmed to have a hospitalization for serious infection. After weighting by the prevalence of the type of serious infection, the ppv of the icd-10-cm algorithm identifying a hospitalization for serious infection was 80.2% (95% ci, 75.3%-84.7%). The icd-10-cm-based algorithm for hospitalization for serious infection among patients dispensed biologic therapies within the sentinel distributed database had 80% ppv for confirmed events and could be considered for use within pharmacoepidemiologic studies.","33885214"
"220","Anna","maybe","Peppa M;Minassian C;Mangtani P;Thomas Sl","2021","The identification and validity of congenital malformation diagnoses in uk electronic health records: a systematic review.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5251","To describe the methods used to identify and validate congenital malformation diagnoses recorded in uk electronic health records, and the results of validation studies. Medline and embase were searched for publications between 1987 and 2019 that involved identifying congenital malformations from uk electronic health records using diagnostic codes. The methods and code-lists used to identify congenital malformations, and the methods and results of validations, were examined. We retrieved 54 eligible studies; 36 identified congenital malformations from primary care data and 18 from secondary care data alone or in combination with birth and/or death records. Identification in secondary care data relied on codes from the 'q' chapter for congenital malformations in icd-10. In contrast, studies using primary care data frequently used additional codes outside of the 'p' chapter for congenital malformation diagnoses in read, although the exact codes used were not always clear. Eight studies validated diagnoses identified in primary care data. The positive predictive value was highest (80%-100%) for congenital malformations overall, major malformations, and heart defects although the validity of the reference standard used was often uncertain. It was lowest for neural tube defects (71%) and developmental hip dysplasia (56%). Studies identifying congenital malformations from primary care data provided limited details about the methods used. The few validation studies were limited to diagnoses recorded in primary care. Further assessments of all measures of validity in both data sources and of other malformation subgroups are needed, using robust reference standards and adhering to reporting guidelines.","33881794"
"222","Anna","YES","Hjorth S;Lupattelli A;Handal M;Spigset O;Ystrom E;Nordeng H","2021","Prenatal exposure to non-steroidal anti-inflammatory drugs and risk of attention-deficit/hyperactivity disorder: a follow-up study in the norwegian mother, father and child cohort.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5250","To estimate the association between attention-deficit/hyperactivity disorder (adhd) in children in preschool and primary school, and prenatal exposure to non-steroidal anti-inflammatory drugs (nsaids) by timing and duration. This study was based on the norwegian mother, father and child cohort study linked to the medical birth registry of norway, the norwegian patient registry (npr) and the norwegian prescription database (norpd). Nsaid exposure was identified by maternal self-report in pregnancy. Child diagnosis of adhd was obtained from npr and norpd. Symptoms of adhd at age 5 years were measured using conners' parent rating scale-revised, where higher scores correspond to more symptoms. To account for time-varying exposure and confounders, marginal structural models were fitted to estimate hazard ratios and mean difference in z-scores. The analyses on adhd diagnosis and adhd symptoms included 56 340 and 34 961 children respectively. Children exposed to nsaids prenatally had no increased risk of adhd diagnosis (first trimester: hr 1.12, 95% ci 0.86;1.45, second trimester: hr 0.98, 95% ci 0.69;1.38, third trimester: hr 0.68, 95% ci 0.31; 1.46) or adhd symptoms (first trimester: standardized mean difference 0.03, 95% ci -0.03;0.09, second trimester: standardized mean difference 0.03, 95% ci -0.04;0.11, third trimester: standardized mean difference 0.11, 95% ci -0.03; 0.25). There was no duration-response relationship for either outcome. Though non-differential misclassification of the exposure may have attenuated results, these findings are reassuring and suggest no substantially increased risk of adhd diagnosis or symptoms in children prenatally exposed to nsaids, regardless of timing or duration.","33866622"
"224","Anna","YES","Yu Sy;Mckavanagh D;Mcpherson I;Walpole E;Atkinson V;Hollingworth S","2021","Survival of advanced melanoma patients treated with immunotherapy and targeted therapy: a real-world study.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5248","We aimed to examine the survival outcomes plus patient and treatment characteristics of advanced melanoma patients treated with first-line immunotherapy (it), targeted therapy (tt), and chemotherapy (cth) and compare findings with information from pivotal trials for each therapy. We retrospectively reviewed the use of systematic it, tt and cth therapies in melanoma patients in four queensland public hospitals. We estimated median duration of overall survival (os) and survival rates (6 months, 1, and 2 years) using kaplan-meier methods. We compared our findings to those of clinical trials. Five hundred three patients who met the inclusion criteria were divided into three groups based on the first-line treatment: it 232; tt 157; and cth 114. Os was 18 months with it (95% ci 13, 22); 12 months with tt (95% ci 8, 15); and 5 months with cth (95% ci 5, 6). The demographic characteristics, treatment protocols, and durations for it and tt were generally consistent with trials but fewer patients in our study had subsequent therapy than in the trials. The os in our study was slightly lower than the os reported in trials. The os of novel cancer therapy in the real world was lower than seen in trials but is expected given these are patients who have a poorer prognosis. A future study could investigate the impact of prognostic factors on survival in the longer term. This study provides evidence that we can use routinely collected real-world data to evaluate the effectiveness of checkpoint and kinase inhibitors in patients with advanced melanoma.","33840147"
"229","Anna","maybe","Hunt Nb;Gardarsdottir H;Bazelier Mt;Klungel Oh;Pajouheshnia R","2021","A systematic review of how missing data are handled and reported in multi-database pharmacoepidemiologic studies.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5245","Pharmacoepidemiologic multi-database studies (mdbs) provide opportunities to better evaluate the safety and effectiveness of medicines. However, the issue of missing data is often exacerbated in mdbs, potentially resulting in bias and precision loss. We sought to measure how missing data are being recorded and addressed in pharmacoepidemiologic mdbs. We conducted a systematic literature search in pubmed for pharmacoepidemiologic mdbs published between 1st january 2018 and 31st december 2019. Included studies were those that used ≥2 distinct databases to assess the same safety/effectiveness outcome associated with a drug exposure. Outcome variables extracted from the studies included strategies to execute a mdbs, reporting of missing data (type, bias evaluation) and the methods used to account for missing data. Two thousand seven hundred and twenty-six articles were identified, and 62 studies were included: using data from either north america (56%), europe (31%), multiple regions (11%) or east-asia (2%). Thirty-five (56%) articles reported missing data: 11 of these studies reported that this could have introduced bias and 19 studies reported a method to address missing data. Thirteen (68%) carried out a complete case analysis, 2 (11%) applied multiple imputation, 2 (11%) used both methods, 1 (5%) used mean imputation and 1 (5%) substituted information from a similar variable. Just over half of the recent pharmacoepidemiologic mdbs reported missing data and two-thirds of these studies reported how they accounted for it. We should increase our vigilance for database completeness in mdbs by reporting and addressing the missing data that could introduce bias.","33834576"
"230","Anna","YES","Engeland A;Ghaderi S;Dos-Santos-Silva I;Furu K;Hjellvik V;Kvåle R;Bjørge T","2021","Prescribed drugs in 27 000 individuals after diagnosis of colorectal cancer: a population-based cohort study.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5243","The prevalence of prescribed drugs in survivors of colorectal cancer (crc) was evaluated. Data from the cancer registry of norway were linked to the norwegian prescription database for a study population of 3.52 million individuals. Prevalence ratios (prs) with 95% confidence intervals (cis) of prescribed drugs in crc-survivors compared to the cancer-free population, were estimated by log-binomial regression, adjusting for age and education. Almost 27 000 individuals, aged 20 to 84, were diagnosed with crc during 2005 to 2014. The first year after diagnosis, the prevalence of prescribed drugs was higher in crc-survivors compared with the cancer-free population, especially drugs for anxiety and tension, and steroid-responsive conditions. Prs for several drugs, especially drugs used for mental and behavioural disorders, decreased with time since diagnosis. The prevalence of drugs used for anxiety and tension was elevated 10 years after diagnosis; prs the first year after diagnosis were 20 (95% ci: 18-22) in males and 17 (16-18) in females. Ten years after diagnosis prs were 5.0 (3.1-7.9) and 2.0 (1.0-3.8), respectively. In absolute numbers, the largest increase, compared to the cancer-free population, was in drugs used for gastric acid disorders and pain. The prevalence of neuromodulatory drugs was higher in crc-survivors. The prevalence of several drugs was higher in crc-survivors than in the cancer-free population 10 years after diagnosis. The largest absolute excess in prevalence was for gastric acid disorder and pain medications, while the relative prevalence of drugs used for anxiety and tension was high in crc-survivors. Long persisting neuropathia was indicated.","33822430"
"231","Anna","YES","Zielinski Gd;Van Rein N;Teichert M;Klok Fa;Rosendaal Fr;Van Der Meer Fjm;Huisman Mv;Cannegieter Sc;Lijfering Wm","2021","Adherence to direct oral anticoagulant treatment for atrial fibrillation in the netherlands: a surveillance study.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5242","Adherence to direct oral anticoagulants (doacs) in patients with atrial fibrillation in every day practice may be less than in clinical trials. To assess adherence to doacs in atrial fibrillation patients in every day practice and identify predictors for non-adherence. Individual linked dispensing data of atrial fibrillation patients who used doacs were obtained from the foundation for pharmaceutical statistics covering the netherlands between 2012 and 2016. One year adherence to doac was calculated for initial doac as proportion of days covered (pdc) ≥80% and the association between clinical variables and adherence was assessed using logistic regression. In addition, we measured non-persistence, that is, patients who completely stopped their initial doac within 1 year follow-up. A total of 4797 apixaban-, 20 454 rivaroxaban- and 18 477 dabigatran users were included. The mean age was 69 years (n = 43 910), which was similar for the doac types. The overall proportion of patients with pdc ≥80% was 76%, which was highest for apixaban- (87%), followed by dabigatran- (80%) and rivaroxaban (69%) users. Multivariable analyses revealed that age ≤60 years, no concomitant drug use were predictors for non-adherence. Of atrial fibrillation patients who continued treatment, 97% had a pdc ≥80%, compared with only 56% for those who discontinued their doac treatment within 1 year. Non-adherence to doacs was associated with age ≤60 years and no concomitant drugs use. Non-adherence was higher in patients who later discontinued doac treatment. Results of our study support research into interventions to improve adherence.","33822401"
"235","Anna","NO","","2021","Corrigendum.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5225","Na","33797137"
"237","Anna","YES","Khalili M;Mesgarpour B;Sharifi H;Golozar A;Haghdoost Aa","2021","Estimation of adverse drug reaction reporting in iran: correction for underreporting.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5235","Underreporting of adverse drug reactions (adrs) reduces the sensitivity of pharmacovigilance systems. We described adr reporting and its trend from 1999 to 2017 and estimated the adr underreporting in the iranian pharmacovigilance center. We expressed the number of adr reporting per inhabitants and admissions and their possible trends. Finally, adr underreporting percentages were estimated by three approaches: prospective studies, literature review, stratification of the country; and the trend of the proportion of adr per inhabitants was corrected. The proportion of adr reporting was 15.3 per 100 000 inhabitants (95% ci: 15.2, 15.8) and 10.0 per 100 000 admissions (95% ci: 9.8, 10.2) in 2017, and its trend was increasing with 16.3% average change per annum during 19 years. The median of estimated percentages of underreporting was 76.0% (iqr: 64.32-81.35). After the correction, the mean proportion of adr reporting for 19 years reached from 5.87 to 10.33 per 100 000 inhabitants. The trend of adrs reporting has been increasing over the 19 years but is still low. This study showed a considerable underreporting of adr, and about one of four detected adrs were reported to the pharmacovigilance center from 1999 to 2017.","33772938"
"238","Anna","YES","Diaz-Arocutipa C;Brañez-Condorena A;Hernandez Av","2021","Qtc prolongation in covid-19 patients treated with hydroxychloroquine, chloroquine, azithromycin, or lopinavir/ritonavir: a systematic review and meta-analysis.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5234","Hydroxychloroquine, chloroquine, azithromycin, and lopinavir/ritonavir are drugs that were used for the treatment of coronavirus disease 2019 (covid-19) during the early pandemic period. It is well-known that these agents can prolong the qtc interval and potentially induce torsades de pointes (tdp). We aim to assess the prevalence and risk of qtc prolongation and arrhythmic events in covid-19 patients treated with these drugs. We searched electronic databases from inception to september 30, 2020 for studies reporting peak qtc ≥500 ms, peak qtc change ≥60 ms, peak qtc interval, peak change of qtc interval, ventricular arrhythmias, tdp, sudden cardiac death, or atrioventricular block (avb). All meta-analyses were conducted using a random-effects model. Forty-seven studies (three case series, 35 cohorts, and nine randomized controlled trials [rcts]) involving 13 087 patients were included. The pooled prevalence of peak qtc ≥500 ms was 9% (95% confidence interval [95%ci], 3%-18%) and 8% (95%ci, 3%-14%) in patients who received hydroxychloroquine/chloroquine alone or in combination with azithromycin, respectively. Likewise, the use of hydroxychloroquine (risk ratio [rr], 2.68; 95%ci, 1.56-4.60) and hydroxychloroquine + azithromycin (rr, 3.28; 95%ci, 1.16-9.30) was associated with an increased risk of qtc prolongation compared to no treatment. Ventricular arrhythmias, tdp, sudden cardiac death, and avb were reported in <1% of patients across treatment groups. The only two studies that reported individual data of lopinavir/ritonavir found no cases of qtc prolongation. Covid-19 patients treated with hydroxychloroquine/chloroquine with or without azithromycin had a relatively high prevalence and risk of qtc prolongation. However, the prevalence of arrhythmic events was very low, probably due to underreporting. The limited information about lopinavir/ritonavir showed that it does not prolong the qtc interval.","33772933"
"239","Anna","YES","Coutinho Df;De Figueiredo Rc;Duncan Bb;Schmidt Mi;Barreto Sm;Diniz Mfhs","2021","Association between control of diabetes mellitus and polypharmacy at the brazilian longitudinal study of adult health (elsa-brasil).","Pharmacoepidemiology And Drug Safety","10.1002/pds.5236","To determine whether desirable diabetes control is associated with polypharmacy and to evaluate potential drug interactions (di) in participants with diabetes mellitus in the brazilian longitudinal study on adult health (elsa-brasil). This cross-sectional study included 1418 participants with medical diagnosis of diabetes at study baseline (2008-2010). Polypharmacy was defined as the use of ≥5 drugs. We described the frequency of the most common pharmacological groups used by patients and the potential di.the association between desirable diabetes control (normal a1c, blood pressure and lipid levels) and polypharmacy was investigated using logistic regression. Most participants were men (52.5%), mean age 57.6 (sd 8.4) years, educated to the university level (39.4%), and self-reported as white (42.9%). In this study, 7.1% (n = 101) of participants had desirable control of diabetes, while 40.4% (n = 573) used polypharmacy, and this use was not significantly associated with better diabetes control (adjusted odds ratio (or = 1.35 [95%ci 0.86-2.13] p = .19).the pharmacological groups most frequently used were oral antidiabetics followed by acetylsalicylic acid, angiotensin-converting enzyme inhibitors (ace inhibitors) and statins.the prevalence of potentially mild, moderate and severe di were, respectively, 2.5%, 14.7% and 0.9%; however, in the desirable control of dm group, these potential di were related to comorbidity control. Faced with the importance of achieving optimal control of diabetes and minimizing risks of potential di, these results, which are in keeping with previous findings described in the literature, might indicate that guidelines for the patient-centered management of control of diabetes must be revised.","33772928"
"240","Anna","YES","Miyazaki M;Sakai T;Obara T;Mano N","2021","The impact of regulation changes in the spontaneous reporting system for vaccines on reporting trends and signal detection in japan.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5231","Spontaneous reporting constitutes one of the most fundamental and important systems for pharmacovigilance. In japan, important regulation changes in the vaccine spontaneous reporting were implemented between 2009 and 2013; however, no studies had yet assessed the impact of the changes. The objective of this study was to assess the impact on the reporting trends in vaccine reports and on signal detection for vaccines. For assessment of the impact on the reporting trends, we performed the joinpoint trend analysis and descriptively considered number of vaccine reports grouped by the timing of the regulation change. For assessment of the impact on signal detection, we performed signal detection using dataset during the pre or postperiod of the regulation changes, and compared their agreement rates, which was calculated with a reference set for vaccines, created by the global research in paediatrics project. We retrieved 467 635 spontaneous reports, including 12 287 vaccine reports from april 2004 to march 2019. The average number of vaccine reports per year increased from 231 reports during the preperiod to 1227 during the postperiod. The joinpoint trend analysis found two joinpoints and differentiated three trends, significant increased trend of which was observed when regulations had changed. For signal detection, the agreement rate was improved when using data during the postperiod. We concluded that the regulation changes increased the number of vaccine reports, and could have improved signal detection performance for vaccines by accelerating accumulation of reports, while more spontaneous reports are necessary to optimize signal detection.","33733540"
"242","Anna","YES","Tave A;Goehring E;Desai V;Wu C;Bohn Rl;Tamayo Sg;Sicignano N;Juhaeri J;Jones Jk;Weiss Sr","2021","Risk of interstitial lung disease in patients treated for atrial fibrillation with dronedarone versus other antiarrhythmics.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5233","To compare risks of interstitial lung disease (ild) between patients treated with dronedarone versus other antiarrhythmics. Parallel retrospective cohort studies were conducted in the united states department of defense military health system database (dod) and the healthcore integrated research database (hird). Study patients were treated for atrial fibrillation (af) with dronedarone, amiodarone, sotalol, or flecainide. Propensity score matching was employed to create analysis cohorts balanced on baseline variables considered potential confounders of treatment decisions. The study period of july 20, 2008 through september 30, 2014 included a 1-year baseline and minimum 6 months of follow-up, for patients with drugs dispensed between july 20, 2009 and march 31, 2014. Suspect ild outcomes were reviewed by independent adjudicators. Cox proportional hazards regression compared risk of confirmed ild between dronedarone and each comparator cohort. A sensitivity analysis examined the effect of broadening the outcome definition. A total 72 ild cases (52 dod; 20 hird) were confirmed among 27 892 patients. Ild risk was significantly higher among amiodarone than dronedarone initiators in dod (hr = 2.5; 95% ci = 1.1-5.3, p = 0.02). No difference was detected in hird (hr = 1.0; 95% ci = 0.4-2.4). Corresponding risks in sotalol and flecainide exposure groups did not differ significantly from dronedarone in either database. Ild risk among af patients initiated on dronedarone therapy was comparable to or lower than that of amiodarone initiators, and similar to that of new sotalol or flecainide users. This finding suggests that elevated ild risk associated with amiodarone does not necessarily extend to dronedarone or other antiarrhythmic drugs.","33730412"
"245","Anna","YES","Lee H;He M;Cho Sk;Bessette L;Tong Ay;Merola Jf;Wegrzyn Lr;Kilpatrick Rd;Kim Sc","2021","Validation of claims-based algorithms to identify patients with psoriasis.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5229","Accurately identifying patients with psoriasis (pso) is crucial for generating real-world evidence on pso disease course and treatment utilization. We developed nine claims-based algorithms for pso using a combination of the international classification of diseases (icd)-9 codes, specialist visit, and medication dispensing using medicare linked to electronic health records data (2013-2014) in two healthcare provider networks in boston, massachusetts. We calculated positive predictive value (ppv) and 95% confidence interval (ci) for each algorithm using the treating physician's diagnosis of pso via chart review as the gold standard. Among the confirmed pso cases, we assessed their pso disease activity. The nine claims-based algorithms identified 990 unique patient records. Of those, 918 (92.7%) with adequate information were reviewed. The ppv of the algorithms ranged from 65.1 to 82.9%. An algorithm defined as ≥1 icd-9 diagnosis code for pso and ≥1 prescription claim for topical vitamin d agents showed the highest ppv (82.9%). The ppv of the algorithm requiring ≥2 icd-9 diagnosis codes and ≥1 prescription claim for pso treatment excluding topical steroids was 81.1% but higher (82.5%) when ≥1 diagnosis was from a dermatologist. Among 411 pso patients with adequate information on pso disease activity in ehrs, 1.5-5.8% had no disease activity, 31.3-36.8% mild, and 26.9-35.1% moderate-to-severe across the algorithms. Claims-based algorithms based on a combination of pso diagnosis codes and dispensing for pso-specific treatments had a moderate-to-high ppv. These algorithms can serve as a useful tool to identify patients with pso in future real-world data pharmacoepidemiologic studies.","33715280"
"247","Anna","NO","Cadarette Sm;Maclure M;Delaney Jac;Whitaker Hj;Hayes Kn;Wang Sv;Tadrous M;Gagne Jj;Consiglio Gp;Hallas J","2021","Control yourself: ispe-endorsed guidance in the application of self-controlled study designs in pharmacoepidemiology.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5227","Consensus is needed on conceptual foundations, terminology and relationships among the various self-controlled ""trigger"" study designs that control for time-invariant confounding factors and target the association between transient exposures (potential triggers) and abrupt outcomes. The international society for pharmacoepidemiology (ispe) funded a working group of ispe members to develop guidance material for the application and reporting of self-controlled study designs, similar to standards of reporting observational epidemiology (strobe). This first paper focuses on navigation between the types of self-controlled designs to permit a foundational understanding with guiding principles. We leveraged a systematic review of applications of these designs, that we term self-controlled crossover observational pharmacoepidemiologic (scope) studies. Starting from first principles and using case examples, we reviewed outcome-anchored (case-crossover [cco], case-time control [ctc], case-case-time control [cctc]) and exposure-anchored (self-controlled case-series [sccs]) study designs. Key methodological features related to exposure, outcome and time-related concerns were clarified, and a common language and worksheet to facilitate the design of scope studies is introduced. Consensus on conceptual foundations, terminology and relationships among scope designs will facilitate understanding and critical appraisal of published studies, as well as help in the design, analysis and review of new scope studies. This manuscript is endorsed by ispe.","33715267"
"248","Anna","YES","Vanwong N;Puangpetch A;Unaharassamee W;Jiratjintana N;Na Nakorn C;Hongkaew Y;Sukasem C","2021","Effect of 5-ht2c receptor gene polymorphism (htr2c-759c/t) on metabolic adverse effects in thai psychiatric patients treated with risperidone.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5224","The use of atypical antipsychotics (aaps) is related to metabolic disturbances, which put psychiatric patients at risk for cardiovascular morbidity and mortality. Evidence is emerging of genetic risk factors. The htr2c gene is an essential candidate in pharmacogenetic studies of antipsychotic-induced metabolic effects. Nevertheless, there were inconsistent results among studies. To investigate the relationship between -759c/t, functional polymorphism of the htr2c gene and metabolic adverse effects in thai psychiatric patients treated with risperidone monotherapy. In this cross-sectional study, 108 psychiatric patients treated with risperidone monotherapy for ≥3 months were recruited. Anthropometric measurements and laboratory tests were obtained upon enrollment and history of treatment was reviewed from medical records. Weight gain was defined as an increase ≥7% of baseline weight. Metabolic syndrome was evaluated according to the 2005 international diabetes federation (idf) asia criteria. The -759c/t, polymorphism was genotyped. The associations between -759c/t polymorphism and metabolic side effects were analyzed. Multiple logistic regression was used for determining potential confounders. Neither weight gain nor metabolic syndrome was significantly associated with -759c/t allelic and genotype variants of htr2c. However, t allele of -759c/t polymorphism significantly associated with the hypertension. This association was not affected by possible confounding factors such as gender, risperidone dose, duration of treatment and family history of hypertension. Our findings suggest that psychiatric patients with t allele of -759c/t polymorphism may be at higher risk for hypertension. Further study with prospective design with larger patient groups are needed.","33683783"
"250","Anna","YES","Hendriksen Lc;Verhamme Kmc;Van Der Linden Pd;Stricker Bh;Visser Le","2021","Women are started on a lower daily dose of metoprolol than men irrespective of dose recommendations: a potential source of confounding by contraindication in pharmacoepidemiology.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5220","Current guidelines have no sex-specific dosage advice for metoprolol. To evaluate whether women and men are prescribed the same dose a cohort analysis was performed in the population-based rotterdam study (rs). Results were replicated in the integrated primary care information (ipci) database of automated general practice data. The mean daily starting doses of metoprolol in both sexes were compared with independent-samples t-tests and a linear regression analysis was used to adjust in the rs for co-variables, notably, cardiovascular comorbidity, migraine, age, sbp, dbp, bmi, socioeconomic status, use of other antihypertensive drugs, smoking, and alcohol. In the ipci-database, adjustment was for age only. The mean daily starting dose was statistically significantly lower in women than in men in both the rs and ipci database, with a mean difference of 4.8 mg (95%ci -7.8, -1.8) and 4.6 mg (95%ci -5.3,-4.0), respectively. Statistical significance remained after adjustment in both databases. Women received lower starting doses of metoprolol than men in two independent data collections despite non-sex specific cardiovascular guideline recommendations. This example of real-life pharmacotherapy can lead to a form of confounding by contraindication in pharmacoepidemiology.","33675258"
"252","Anna","YES","Burkard T;Rauch M;Jick Ss;Meier Cr","2021","Validity of bariatric surgery codes in the uk clinical practice research datalink (cprd) gold compared with hospital episodes statistics.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5221","To assess completeness and validity of bariatric surgery codes in the uk clinical practice research datalink (cprd) gold compared with hospital episodes statistics (hes). We conducted a validation study among patients in the uk-based cprd gold with linkage to hes (1998 to 2017). Since the same surgery codes are used for bariatric and other gastrointestinal surgery we assessed code distribution patterns used in patients with bariatric versus other gastrointestinal surgery by presence of other conditions such as obesity and gastrointestinal cancer. We developed algorithms to identify bariatric surgery and calculated validity measures (ie, positive/negative predictive value [ppv/npv], sensitivity, and specificity) of each in cprd gold compared with hes (gold standard). Among 7 357 007 available patients we identified 10 190 patients who had a total of 14 046 potential bariatric surgery codes in cprd gold and/or hes. Surgery code patterns differed between bariatric surgery and assumed other gastrointestinal surgery. The sensitivity of cprd gold bariatric surgery coding improved from an overall of 56% to 69-71% when applying stricter algorithms (ie, in obese patients or obese, gastrointestinal disease/complication free patients) but ppvs remained at 53%-55%. Npvs and specificities of cprd gold bariatric surgery coding achieved ≥99.8% for all algorithms. Our results suggest that using cprd gold and hes data and a wide selection of surgery codes will result in the most complete and accurate capture of bariatric surgery events. Validity measures of cprd gold bariatric surgery codes were identical in obese patients and more restrictive populations.","33675245"
