Timestamp,PMID (from spreadsheet),DOI (from spreadsheet) ,Title,Could the article share programming code?,Publication Type PDS,Publication Aim,Is the analysis based on simulated data? ,Is this COVID-19 research? (is COVID-19 or SARS-CoV-2 in title or abstract?) ,Who was the funder? ,Is this industry funding?,Which database(s) were used (LEAVE BLANK)? ,Which country/ies does the database cover? (NA if not does not apply) ,What language or platform was used for the analyses? ,Author affiliation (check all that apply) ,Is code supporting the analysis or method linked or referenced in the manuscript or in supporting information? ,Is the published code accessible without further contacting authors? ,Where is code shared? ,What parts of the analysis pipeline are covered by the code?,Does the code include instructions for how to run it? ,Does the article contain synthetic data to enable code to be run by others? ,If there is synthetic data or it is a simulation study; does the code run? ,Does the code have a license?,"If yes, what is the license? ",Does the article specify preprinting?,Are underlying data shared?,Are codelists shared?,Did the article specify whether the research was pre-registered? ,Does the article specify following a certain reporting guideline? ,"If yes, what reporting guidelines"
6/26/2023 13:21:19,35695189,10.1002/pds.5495,Association between opioid therapy trajectories and potential opioid-related adverse health events,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,National Institute on Drug Abuse,No,,US,SAS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 13:50:15,30152575,10.1002/pds.4645,Evaluating automated approaches to anaphylaxis case classification using unstructured data from the FDA Sentinel System,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,US FDA,No,,US,"Python, A platform, specify in other, Sentinel ","Industry, Academic, Regulatory, Third sector",Yes,Yes,Github,Methodology (package or function),"Yes, this is a published package with documentation",No,Not applicable,No,,No,No,Not applicable,No,No,
6/26/2023 13:53:18,33822430,10.1002/pds.5243,Prescribed drugs in 27 000 individuals after diagnosis of colorectal cancer: A population-based cohort study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Norwegian Cancer Society,No,,Norway,Stata,"Academic, Government, Data Provider (cancer registry Norway) ",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:01:40,34015159,10.1002/pds.5295,Use of hydrochlorothiazide and risk of skin cancer in a large nested case-control study in Spain,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Spain ,"R, Stata","Academic, Regulatory, Government, Data provider",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:02:10,27862597,10.1002/pds.4130,Impact of an opioid risk reduction initiative on motor vehicle crash risk among chronic opioid therapy patients,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Group Health Research Institute from the Patient-Centered Outcomes Research Institute,No,,US,"R, SAS","Data Provider (Kaiser, Group Health Research Institute) ",No,,,,,,,,,No,No,No,No,No,
6/26/2023 14:10:48,36089808,10.1002/pds.5540,Partition testing for real-world evidence studies,No,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2023 14:13:41,33009703,10.1002/pds.5145,Risk of age-related macular degeneration in aspirin users and non-aspirin users: A population-based cohort study in Taiwan,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Taiwan,SAS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:15:25,28944519,10.1002/pds.4320,A 15-year overview of increasing tramadol utilisation and associated mortality and the impact of tramadol classification in the United Kingdom,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,University of Nottingham,No,,UK,Stata,Academic,No,,,,,,,,,No,,No,No,No,
6/26/2023 14:15:47,27859924,10.1002/pds.4132,"Older adults with heart failure treated with carvedilol, bisoprolol, or metoprolol tartrate: risk of mortality","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Réseau Québécois de recherche sur le medicament (RQRM),No,,Canada,None/Not Specified,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:18:19,31730260,10.1002/pds.4925,Epidemiology of multimorbidity in Iran: An investigation of a large pharmacy claims database,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Vice-Chancellor for Research and Technology, Tabriz University of Medical Sciences",No,,Iran,"R, Stata",Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:19:01,28967200,10.1002/pds.4296,Statins and diabetes: is there any difference between the different statins?,"Yes, because it's an analysis of real or simulated data",Letters to the Editor,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2023 14:19:34,32189390,10.1002/pds.4994,Abstracts,No,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2023 14:21:15,33000871,10.1002/pds.5143,Ondansetron use in early pregnancy and the risk of miscarriage,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"National Institutes of Health, National Center for Advancing Translational Sciences",No,,US,R,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:22:20,29446176,10.1002/pds.4397,Meningococcal conjugate vaccine safety surveillance in the Vaccine Safety Datalink using a tree-temporal scan data mining method,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,None,No,,US,"A platform, specify in other, treeScan software, Multi-Level Clinical Classification Software (MLCCS) (https://www.hcup-us.ahrq.gov/toolssoftware/ccs/ccs.jsp)","Academic, Government, Data Provider (Kaiser)",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:24:22,33772928,10.1002/pds.5236,Association between control of diabetes mellitus and polypharmacy at the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil),"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No," the Brazilian Ministry of Health (Science and Technology Department) and the Brazilian Ministry of Science and Technology (Financiadora de Estudos e Projetos and CNPq National Research Council, Grant/Award Number: 01 06 0278.00 MG 06 0115.00 SP 01 06 0071.00 RJ; Brazilian Ministry of Health (Science and Technology Department) and the Brazilian Ministry of Science and Technology (Financiadora de Estudos e Projetos and CNPq National Research Council), Grant/Award Number: 01 060010.00 RS 01 06 0212.00 BA 01 06 0300.00 ES",No,,Brazil,Stata,Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 14:26:38,34553438,10.1002/pds.5362,Evaluation of the key prescription sequence symmetry analysis assumption using the calcium channel blocker: Loop diuretic prescribing cascade,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,National Institutes of Health,No,,US,SAS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:28:04,31062446,10.1002/pds.4782,Identification and mapping of worldwide sources of generic real-world data,"Yes, because it's an analysis of real or simulated data",Review Articles,Review (systematic with or without meta-analysis),No,No,"Novartis Pharma AG, Basel, Switzerland",Yes,,NA,None/Not Specified,"Industry, Academic",No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 14:29:39,28371079,10.1002/pds.4208,Validity of major osteoporotic fracture diagnosis codes in the Clinical Data Analysis and Reporting System in Hong Kong,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,None,No,,Hong Kong,R,"Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 14:36:07,35996832,10.1002/pds.5533,A systematic review of whether COVID-19 randomized controlled trials reported on demographic and clinical characteristics,"Yes, because it's an analysis of real or simulated data",Original Article,Review (systematic with or without meta-analysis),No,Yes,Patient-Centered Outcomes Research Institute (PCORI),No,,NA,None/Not Specified,Academic,Yes,Yes,Github,"Creation of analytical files (select study population and create variables), Statistical analysis","Yes, there is a README with instructions",No,Not applicable,No,,No,Yes  - raw data,Not applicable,"Yes, in a public database with a detailed research outline, protocol or SAP",Yes,PRISMA
6/26/2023 14:49:21,30786103,10.1002/pds.4729,Quantifying bias reduction with fixed-duration versus all-available covariate assessment periods,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Yes,No,None,No,,NA,R,Academic,Yes,Yes,Supplementary materials (doc or pdf),"Creation of analytical files (select study population and create variables), Statistical analysis",Yes in comments,Yes,Yes,No,,No,Not applicable to this type of analysis,Not applicable,No,Not applicable,
6/26/2023 14:58:13,32936997,10.1002/pds.5130,Gastrointestinal bleeding risk with rivaroxaban vs aspirin in atrial fibrillation: A multinational study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Bayer HealthCare; Department of Education, Australian Government; Hong Kong University and University College London Strategic Partnership Fund",Yes,,"Hong Kong, UK",SAS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 15:00:11,30779395,10.1002/pds.4700,Validating registry data on statins prescriptions by blood measurements,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,Danish Research and Innovation Fund,No,,Denmark,SAS,Academic,No,,,,,,,,,No,No,At least one,No,Yes,Benchimol validation
6/26/2023 15:03:56,29532543,10.1002/pds.4420,Evaluation of the US Food and Drug Administration sentinel analysis tools in confirming previously observed drug-outcome associations: The case of clindamycin and Clostridium difficile infection,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,Food and Drug Administration,No,,US,Sentinel (CIDA and PSM tools) ,"Academic, Regulatory, Data Provider (Kaiser) ",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 15:07:24,32020767,10.1002/pds.4930,"Anti-TNF treatment during pregnancy and birth outcomes: A population-based study from Denmark, Finland, and Sweden","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Janssen,Yes,,"Denmark, Finland, Sweden",None/Not Specified,Academic,No,,,,,,,,,No,No,At least one,"Yes, in a public database with a detailed research outline, protocol or SAP",No,
6/26/2023 15:10:12,32000300,10.1002/pds.4954,Use of methylphenidate and risk for valvular heart disease: A case-control study nested in the BIFAP cohort,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,American Heart Association,No,,Spain,None/Not Specified,"Academic, Regulatory, Government",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 15:12:51,32964590,10.1002/pds.5136,Impact of a drug safety communication on the severity of benzonatate exposures reported to poison centers,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,US,"SAS, GraphPad Prism",Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 15:15:12,30022561,10.1002/pds.4615,Comparison of privacy-protecting analytic and data-sharing methods: A simulation study,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Yes,No,Patient-Centered Outcomes Research Institute (PCORI),No,,NA,R,Academic,Yes,Yes,"Github, Supplementary materials (doc or pdf)","Creation of analytical files (select study population and create variables), Statistical analysis, Methodology (package or function)","Yes, there is a README with instructions",Yes,Flag (investigate later due to software access),No,,No,Not applicable to this type of analysis,Not applicable,No,No,
6/26/2023 15:15:13,31338935,10.1002/pds.4847,Cardiovascular risks associated with dipeptidyl peptidase-4 inhibitors monotherapy compared with other antidiabetes drugs in the Japanese population: A nationwide cohort study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Japan,SAS,Regulatory,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 15:20:59,29806185,10.1002/pds.4562,Electronic health record (EHR) based postmarketing surveillance of adverse events associated with pediatric off-label medication use: A case study of short-acting beta-2 agonists and arrhythmias,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,US Department of Health and Human Services (HHS),No,,US,R,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 15:27:32,35247021,10.1002/pds.5425,Evaluating opioid analgesic prescribing limits: A narrative review,"Yes, because it's an analysis of real or simulated data",Review Articles,Review (narrative),No,No,"CDC, NIH, FDA",No,,NA,None/Not Specified,"Regulatory, Government",No,,,,,,,,,No,Not applicable to this type of analysis,Not applicable,No,No,
6/26/2023 15:40:20,33368820,10.1002/pds.5188,Feasibility of using Clinical Practice Research Datalink data to identify patients with chronic obstructive pulmonary disease to enrol into real-world trials,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,GlaxoSmithKline,Yes,,UK,None/Not Specified,"Industry, Regulatory",No,,,,,,,,,No,No,No,No,Yes,RECORD
6/26/2023 15:41:38,29878643,10.1002/pds.4439,"Prescribing and Research in Medicines Management (UK & Ireland), Annual Conference 2018, National Council for Voluntary Organisations, London, January 26, 2018: ""Optimising Medicines: Factoring in Frailty""",No,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2023 15:42:44,27670850,10.1002/pds.4111,Differences between the United States and Japan in labels of oncological drugs,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Ministry of Education, Culture, Sports, Science and Technology",No,,"US, Japan",Stata,Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 15:45:30,29457309,10.1002/pds.4402,Severe intestinal malabsorption associated with ACE inhibitor or angiotensin receptor blocker treatment. An observational cohort study in Germany and Italy,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Menarini Industrie Farmaceutiche Riunite Srl.,Yes,,"Italy, Germany",None/Not Specified,"Industry, Academic",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 15:46:49,35224801,10.1002/pds.5423,Validity of identification algorithms combining diagnostic codes with other measures for acute ischemic stroke in MID-NET®,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,Japan Agency for Medical Research and Development,No,,Japan,R,"Academic, Regulatory",No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",At least one,No,No,
6/26/2023 15:51:26,30724414,10.1002/pds.4719,Variation of the prevalence of pediatric polypharmacy: A scoping review,"Yes, because it's an analysis of real or simulated data",Review Articles,Review (systematic with or without meta-analysis),No,No,"National Center for Advancing Translational Sciences , Eunice Kennedy Shriver National Institute for Child Health and Human Development",No,,NA,R,"Academic, Hospital",No,,,,,,,,,No,Yes  - raw data,Not applicable,No,No,
6/26/2023 15:53:30,32316074,10.1002/pds.5013,The effect of an intervention program on the knowledge and attitudes among medical staff regarding adverse drug reaction reporting,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Israel,SPSS,Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 15:53:44,35670078,10.1002/pds.5486,Antibacterial-associated acute kidney injury among older adults: A post-marketing surveillance study using the FDA adverse events reporting system,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,US,None/Not Specified,Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 15:57:28,31313390,10.1002/pds.4808,The comparative effectiveness of fourth-line drugs in resistant hypertension: An application in electronic health record data,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Wellcome,No,,UK,Stata,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 15:57:52,31923351,10.1002/pds.4959,Impact of pre-exposure time bias in self-controlled case series when the event conditions the exposure: Hip/femur fracture and use of benzodiazepines as a case study,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,Innovative Medicines Initiative Joint Undertaking (IMI JU),No,,Spain,Stata,"Academic, Regulatory",No,,,,,,,,,,No,At least one,No,No,
6/26/2023 16:00:15,29490427,10.1002/pds.4412,Icodextrin reduces the risk of congestive heart failure in peritoneal dialysis patients,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Taiwan Ministry of Health and Welfare Clinical Trial and Research Center of Excellence (MOHW106-TDU-B-212-113004), the research laboratory of pediatrics, Children's Hospital of China Medical University (grant number DMR-106-054), China Medical University Hospital (DMR-107-026), Academia Sinica Taiwan Biobank Stroke Biosignature Project (BM10501010037), NRPB Stroke Clinical Trial Consortium (MOST 105-2325-B-039-003), Tseng-Lien Lin Foundation, Taichung, Taiwan, Taiwan Brain Disease Foundation, Taipei, Taiwan, and Katsuzo and Kiyo Aoshima Memorial Funds, Japan",No,,Taiwan,"R, SAS","Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:02:54,32124527,10.1002/pds.4985,Effects of sodium glucose cotransporter 2 inhibitors on risk of dyslipidemia among patients with type 2 diabetes: A systematic review and meta-analysis of randomized controlled trials,"Yes, because it's an analysis of real or simulated data",Original Article,Review (systematic with or without meta-analysis),No,No,None,No,,NA,Stata,Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 16:03:41,30395375,10.1002/pds.4690,"Diagnostic accuracy of the International Classification of Diseases, Tenth Revision, codes of heart failure in an administrative database","Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,None,No,,France,SAS,"Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:07:01,31811680,10.1002/pds.4937,Comparison of electronic self-reported prescription medication use during pregnancy with the national prescription register in Denmark,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,PROTECT consortium,No,,Denmark,None/Not Specified,"Industry, Academic, Government",No,,,,,,,,,No,No,No,No,No,
6/26/2023 16:07:55,30747466,10.1002/pds.4741,Prevalence of drug use among adults with intellectual disabilities compared with drug use in the general population,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Norway,"R, SPSS",Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:09:14,28233367,10.1002/pds.4186,Medical specialists' attitudes to prescribing biosimilars,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,PHARMAC (the New Zealand Government's Pharmaceutical Management Agency),No,,New Zealand,None/Not Specified,"Academic, Hospital",No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 16:10:40,31131966,10.1002/pds.4800,Adverse drug reaction reporting by community pharmacists—The barriers and facilitators,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Wales School for Primary Care Research (WSPCR) ,No,,UK,SPSS,Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 16:20:03,31328342,10.1002/pds.4853,Concordance of hospitalizations between Clinical Practice Research Datalink and linked Hospital Episode Statistics among patients treated with oral antidiabetic therapies,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,AstraZeneca,Yes,,UK,"Stata, SAS","Industry, Academic, Regulatory",Yes,No,Available on request,Unclear,No,No,Not applicable,Not possible to assess,,No,No,At least one,No,No,
6/26/2023 16:20:48,28374489,10.1002/pds.4131,Improving medical record retrieval for validation studies in Medicare data,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No, UAB and Amgen Inc,Yes,,US,"Stata, SAS","Industry, Academic",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:22:39,30073735,10.1002/pds.4626,Tramadol use in Norway: A register-based population study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Norway,SPSS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:24:13,27910218,10.1002/pds.4144,Octreotide use and safety in infants with hyperinsulinism,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,US,"Stata, Excel","Regulatory, Hospital",No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 16:24:33,28815803,10.1002/pds.4267,Validity of cancer diagnosis in the National Health Insurance database compared with the linked National Cancer Registry in Taiwan,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,"Ministry of Science and Technology, Taiwan",No,,Taiwan,SAS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:26:45,28422339,10.1002/pds.4214,Prenatal exposure to β2-adrenoreceptor agonists and the risk of autism spectrum disorders in offspring,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,"National Natural Science Foundation of China (81428011 and 81602860), the Nordic Cancer Union (2013_129830 and 2015_176673), the European Research Council (ERC-2010-StG-260242-PROGEURO), the Danish Council for Independent Research (DFF-6110-00019), the Karen Elise Jensens Fond (2016), and the Key Lab of Reproduction Regulation of National Population and Family Planning Committee",No,,Denmark,SAS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:28:53,32725962,10.1002/pds.5075,Opioid prescribing on discharge to skilled nursing facilities,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No," National Center for Advancing Translational Sciences, Grant/Award Number: UL1TR0002369; National Institute on Drug Abuse, Grant/Award Numbers: 1R01DA044284, 1R01DA046468",No,,US,"R, SAS",Academic,No,,,,,,,,,No,No,No,No,No,
6/26/2023 16:30:23,27501410,10.1002/pds.4077,Development of an adverse events reporting form for Korean folk medicine,"Yes, because it's an analysis of real or simulated data",Original Article,"Clinical, Guidance",No,No,None,No,,Korea,None/Not Specified,"Regulatory, Government",No,,,,,,,,,No,No,Not applicable,No,Not applicable,
6/26/2023 16:31:53,33314561,10.1002/pds.5184,"Thyroid hormone replacement therapy in pregnancy and motor function, communication skills, and behavior of preschool children: The Norwegian Mother, Father, and Child Cohort Study","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,2020 European Research Council; The Norwegian Women's Public Health Association,No,,Norway,R,"Academic, Government",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:35:10,31237054,10.1002/pds.4842,Impact of a population-based asthma management program in France (Sophia Asthme): A matched controlled before-and-after quasi-experimental study using the French health insurance database (SNDS),"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Caisse Nationale d'Assurance Maladie (CNAM),No,,France,"R, SAS",Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:36:04,33090666,10.1002/pds.5138,Characteristics associated with time-to-treatment initiation for chronic Hepatitis C with new direct acting antivirals,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Johns Hopkins/Kaiser Permanente Research Collaboration Committee.,No,Kaiser Permanente Mid-Atlantic States members,US,Stata,"Industry, Academic, Data Provider (Kaiser) ",No,,,,,,,,,No,No,No,No,No,
6/26/2023 16:38:50,31509302,10.1002/pds.4895,L-TRUST: Long-term risk of cancer in patients under statins therapy. A systematic review and meta-analysis,"Yes, because it's an analysis of real or simulated data",Original Article,Review (systematic with or without meta-analysis),No,No,None,No,,NA,RevMan,Academic,No,,,,,,,,,No,No,Not applicable,"Yes, in a public database with a detailed research outline, protocol or SAP",Yes,PRISMA
6/26/2023 16:39:16,30324671,10.1002/pds.4672,Significance of data mining in routine signal detection: Analysis based on the safety signals identified by the FDA,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,None,No,,US,"Excel, Access","Industry, Academic",No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 16:41:18,29210149,10.1002/pds.4363,Retinal vascular complications associated with interferon-ribavirin therapy for chronic hepatitis C: A population-based study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Chiayi Chang Gung Memorial Hospital, Taiwan",No,,Taiwan,SAS,"Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:41:41,29659118,10.1002/pds.4428,Risk of stroke associated with use of nonsteroidal anti-inflammatory drugs during acute respiratory infection episode,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Ministry of Science and Technology, Taiwan",No,,Taiwan,SAS,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:43:43,29691919,10.1002/pds.4413,Impact of different assumptions on estimates of childhood diseases obtained from health care data: A retrospective cohort study,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,European Union's Seventh Framework Programme,No,,Netherlands,SPSS and a custom-built Java application called Jerboa Reloaded,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 16:45:58,27862608,10.1002/pds.4127,Assessing prescription drug abuse using functional principal component analysis (FPCA) of wastewater data,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,EU-International Training Network SEWPROF,No,,Norway,R,Academic,No,,,,,,,,,No,Yes  - raw data,Not applicable,No,Not applicable,
6/26/2023 16:46:10,32939910,10.1002/pds.5094,Stability of individual dementia diagnoses in routine care: Implications for epidemiological studies,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,None,No,,Germany,SAS,Data Provider (BIPS) ,No,,,,,,,,,No,"No, but data access procedures are described (incl. ""available on request)",At least one,No,No,
6/26/2023 16:48:19,30993835,10.1002/pds.4770,All-cause pneumonia in children after the introduction of pneumococcal vaccines in the United Kingdom: A population-based study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,,No,Pfizer,Yes,,UK,"Stata, SAS","Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:11:04,33197106,10.1002/pds.5174,Does additional monitoring status increase the reporting of adverse drug reactions? An interrupted time series analysis of EudraVigilance data,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,EU,"Stata, Joinpoint ","Academic, Regulatory",No,,,,,,,,,No,No,Not applicable,No,No,
6/26/2023 17:13:09,31271484,10.1002/pds.4802,Sibship and dispensing patterns of asthma medication in young children—a population-based study,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Swedish Research Council,No,,Sweden,None/Not Specified,"Academic, Hospital",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:14:48,30784140,10.1002/pds.4742,Long-term persistence and adherence to blood pressure lowering agents among older Australians,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Australia,Stata,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:16:51,32124511,10.1002/pds.4967,Validation of algorithms to identify adverse perinatal outcomes in the Medicaid Analytic Extract database,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD), Grant/Award Number: 5K08HD075831-05; Eli Lilly and Company",Yes,,US,None/Not Specified,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:18:53,31407838,10.1002/pds.4854,Agreement between self-reported and registry-based use of sleep medications and tranquilizers,"Yes, because it's an analysis of real or simulated data",Original Article,Validation of codes/code algorithm,No,No,Research Council of Norway—Program for Environmental Exposures and Health Outcomes,No,,Norway,Stata,"Academic, Government",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:21:13,29493043,10.1002/pds.4406,Proton pump inhibitor use and the risk of fractures among an older adult cohort,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,National Institute of Health,No,,US,Stata,"Academic, Data Provider (Kaiser)",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:24:34,32267029,10.1002/pds.5000,No association between use of phosphodiesterase 5 inhibitors and colorectal cancer in men with erectile dysfunction,"Yes, because it's an analysis of real or simulated data",Brief Report,Clinical,No,No,None,No,,UK,Stata,"Industry, Academic",No,,,,,,,,,No,No,No,No,No,
6/26/2023 17:25:15,28722211,10.1002/pds.4254,Using prescription monitoring program data to characterize out-of-pocket payments for opioid prescriptions in a state Medicaid program,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,CDC,No,,US,R,"Academic, Government",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:26:35,31797484,10.1002/pds.4915,Exposure to guideline-recommended drugs after a first acute myocardial infarction in older adults: does deprivation matter?,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,Canada,SAS,"Industry, Government",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:29:07,28295862,10.1002/pds.4191,Sample size of the reference sample in a case-augmented study,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Yes,No,None,No,,NA,None/Not Specified,Academic,No,,,,,,,,,No,No,Not applicable,No,Not applicable,
6/26/2023 17:29:07,30264894,10.1002/pds.4643,Comparing outpatient oral antibiotic use in Germany and the Netherlands from 2012 to 2016,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,None,No,,"Germany, Netherlands",SPSS,"Academic, Third sector",No,,,,,,,,,No,No,At least one,No,No,
6/26/2023 17:32:02,29516585,10.1002/pds.4409,Utilization of drugs with pregnancy exposure registries during pregnancy,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,US Food and Drug Administration,No,,US,"SAS, Sentinel","Academic, Regulatory",No,,,,,,,,,No,No,Published Elsewhere,No,No,
